codigo_dane,desempeno_municipal
23300,33.93
23350,43.48
23417,59.77
23419,77.09
23464,21.63
23500,48.03
23555,37.75
23570,64.77
23574,41.21
23586,57.87
23660,44.5
23670,43.15
23672,51.82
23675,56.86
23678,64.66
23682,55.3
23686,51.37
23815,33.71
23855,65.58
23466,72.3
23580,30.96
23807,63.87
08001,84.07
08078,68.24
08137,56.69
08141,61.81
08296,88.22
08372,64.42
08421,48.04
08433,44.85
08436,76.56
08520,55.12
08549,59.87
08558,61.0
08560,39.34
08573,80.49
08606,49.43
08634,79.4
08638,53.44
08675,41.6
08685,70.14
08758,68.99
08770,47.46
08832,75.88
08849,75.85
13001,95.43
13006,38.26
13030,70.43
13042,50.1
13052,31.1
13062,64.32
13074,94.03
13140,40.81
13160,91.03
13188,66.84
13212,39.18
13222,50.11
13244,52.38
13248,22.19
13268,51.11
13433,63.91
13440,33.41
13442,39.33
13458,55.03
13468,621.852428964253
13473,37.42
13490,35.1
13549,35.76
13580,22.22
13600,32.32
13620,46.28
13647,29.51
13654,58.43
13655,621.852428964253
13657,93.58
13667,84.65
13670,69.26
13673,68.8
13683,78.79
13688,81.87
13744,42.83
13760,25.77
13780,43.85
13810,45.46
13836,53.18
13838,38.46
13873,38.38
13894,50.37
20032,39.77
20060,53.36
20175,38.57
20178,39.58
20228,51.68
20238,53.35
20250,30.72
20295,66.31
20310,42.03
20383,96.31
20400,77.76
20443,67.98
20517,95.16
20550,90.7
20614,82.67
20710,72.43
20750,52.17
20787,62.91
20001,79.35
20013,68.77
20045,75.67
20621,63.21
20570,49.82
20770,73.31
20011,55.75
44078,88.02
44098,59.94
44110,69.14
44279,40.14
44378,79.13
44420,87.81
44855,81.88
44874,86.7
44001,58.81
44035,52.02
44090,84.43
44650,94.42
44847,66.23
44430,52.64
44560,76.02
47541,23.87
47030,75.93
47058,83.24
47161,23.28
47170,35.58
47205,48.41
47258,63.46
47268,69.96
47318,31.19
47460,64.35
47545,29.79
47551,61.49
47555,60.82
47570,62.96
47605,18.77
47660,51.46
47675,37.49
47692,83.95
47703,27.69
47707,64.45
47720,78.86
47745,64.34
47798,24.0
47960,73.28
47980,38.38
47053,53.88
47189,51.0
47288,66.6
47001,85.04
47245,71.02
70001,52.61
70110,63.71
70124,37.92
70204,51.84
70215,60.53
70221,75.1
70230,48.17
70233,34.32
70235,37.37
70265,23.72
70400,48.19
70418,61.68
70429,69.53
70508,69.55
70523,51.93
70670,48.64
70678,69.75
70702,21.02
70708,34.76
70713,57.47
70717,35.11
70742,621.852428964253
70771,39.59
70820,68.47
70823,11.57
70473,58.38
88001,621.852428964253
88564,31.03
81001,55.75
81591,45.87
81220,61.92
81065,64.25
81300,75.55
81736,62.04
81794,75.94
15001,77.4
15022,22.55
15047,55.92
15051,621.852428964253
15087,60.01
15090,55.47
15092,62.52
15097,82.28
15104,66.63
15106,79.05
15109,63.93
15114,65.56
15131,48.47
15135,38.25
15162,79.8
15172,49.24
15176,86.02
15183,58.87
15185,66.96
15187,89.75
15189,56.31
15204,89.77
15212,64.97
15215,85.29
15377,71.0
15380,82.25
15401,80.24
15403,77.46
15542,62.35
15550,44.29
15572,66.42
15580,69.01
15755,70.6
15757,76.21
15759,88.0
15761,64.42
15842,34.42
15861,85.7
15879,80.68
15897,50.18
15218,81.78
15224,55.99
15226,47.86
15232,37.51
15236,51.15
15238,57.55
15244,47.56
15248,67.23
15272,33.81
15276,53.01
15293,84.81
15296,30.7
15299,86.4
15317,58.75
15322,53.02
15325,65.95
15362,40.48
15367,68.56
15368,62.41
15407,63.12
15425,75.52
15442,66.2
15455,57.29
15464,78.69
15466,52.57
15469,49.94
15476,53.76
15480,87.93
15491,75.54
15494,46.12
15500,31.71
15507,73.69
15511,79.49
15514,68.07
15516,82.04
15518,52.04
15522,51.24
15531,54.16
15533,71.79
15537,47.16
15599,64.62
15600,90.38
15621,41.69
15632,57.73
15638,40.71
15646,80.33
15660,71.97
15664,45.74
15667,52.09
15673,49.81
15676,65.59
15681,85.77
15686,65.92
15690,79.91
15693,29.86
15696,74.19
15720,64.74
15723,62.42
15740,86.49
15753,88.2
15762,82.13
15763,87.28
15764,76.06
15774,42.18
15776,70.35
15778,57.26
15790,66.14
15798,62.7
15804,89.57
15806,56.3
15808,46.57
15810,86.34
15814,67.32
15816,64.76
15820,90.85
15822,68.4
15832,62.76
15835,51.16
15837,63.84
15839,76.29
15180,48.35
15223,83.3
15332,24.83
25019,61.59
25035,79.99
25040,82.97
25053,56.74
25086,60.52
25095,72.19
25099,77.05
25120,54.9
25123,85.22
25126,78.19
25148,64.62
25151,66.14
25154,60.12
25168,66.75
25178,45.27
25181,64.15
25183,79.33
25200,57.58
25214,66.66
25224,88.05
25245,47.78
25258,60.17
25269,66.42
25279,55.46
25281,60.28
25286,98.09
25288,65.45
25293,64.64
25295,56.84
25297,90.97
25299,89.05
25312,82.28
25317,55.49
25320,89.17
25322,78.88
25324,72.49
25326,40.98
25328,69.74
25335,69.47
25339,93.47
25368,58.77
25372,46.77
25377,64.66
25386,83.61
25394,42.03
25398,86.11
25402,78.79
25407,81.87
25426,57.65
25430,83.78
25436,62.21
25438,62.4
25483,55.19
25486,64.97
25488,84.23
25489,64.98
25491,78.84
25506,75.08
25513,78.05
25518,50.4
25524,56.47
25530,44.36
25535,68.3
25572,63.84
25580,64.92
25592,81.22
25594,44.55
25596,53.81
25599,54.63
25612,65.02
25645,60.96
25649,75.52
25653,71.96
25658,67.71
25718,77.48
25736,66.87
25743,54.64
25745,74.03
25758,88.1
25769,69.86
25772,54.91
25777,66.96
25779,74.6
25781,77.2
25785,69.19
25793,81.09
25797,56.83
25799,76.73
25805,79.11
25807,82.25
25815,58.42
25817,67.95
25823,57.36
25839,56.29
25841,69.83
25843,96.06
25845,74.41
25851,57.1
25862,68.84
25867,88.47
25871,49.8
25873,69.28
25875,85.12
25878,66.81
25885,92.02
25898,83.77
25899,68.18
25001,76.41
54001,79.76
54003,79.3
54051,74.1
54099,43.94
54109,83.45
54125,83.86
54128,51.58
54172,85.65
54223,67.17
54239,57.69
54261,70.29
54313,68.51
54344,56.92
54347,63.93
54377,67.92
54385,43.78
54398,65.7
54405,83.57
54418,32.7
54480,69.07
54498,65.09
54518,76.76
54520,71.35
54553,79.11
54599,80.66
54660,65.55
54670,72.67
54673,79.14
54680,43.4
54720,48.01
54743,55.03
54871,53.43
54874,81.11
54174,52.75
54206,65.22
54245,93.47
54800,54.96
54810,62.75
54820,44.47
54250,79.61
11001,97.22
50001,64.81
50006,82.57
50110,38.6
50124,56.1
50150,69.75
50223,52.87
50226,53.26
50245,26.42
50251,62.88
50270,58.17
50287,54.98
50313,85.87
50318,75.74
50330,72.63
50370,54.69
50400,71.1
50450,73.93
50573,74.14
50577,40.73
50590,52.09
50606,74.38
50680,65.22
50683,73.48
50686,24.79
50689,61.65
50711,64.38
50350,54.03
50325,44.68
50568,71.58
41001,85.18
41306,44.06
41319,62.79
41349,90.71
41357,67.38
41359,58.99
41378,61.87
41396,75.76
41483,76.61
41503,71.71
41518,83.04
41524,84.23
41530,72.37
41548,59.49
41551,63.99
41615,85.97
41660,89.28
41668,72.7
41676,79.52
41770,71.98
41791,64.04
41797,69.88
41799,78.26
41801,70.75
41807,80.33
41872,80.09
41885,78.32
41298,69.82
41244,65.24
41206,56.69
41132,77.51
41078,75.78
41026,68.17
41020,81.18
41016,74.17
41013,64.91
41006,73.96
68013,29.87
68020,70.44
68051,59.23
68077,65.47
68079,75.19
68081,68.13
68092,61.04
68121,54.05
68132,27.97
68147,40.78
68152,64.92
68160,43.03
68162,65.47
68167,76.23
68169,88.05
68176,53.65
68179,53.65
68190,55.13
68207,60.98
68209,63.86
68615,70.46
68655,51.0
68669,71.39
68673,45.77
68679,81.48
68682,58.91
68684,50.3
68686,39.1
68689,45.65
68705,63.17
68720,67.23
68745,77.6
68755,81.47
68770,49.86
68773,58.08
68780,33.96
68820,51.43
68855,82.67
68861,62.81
68867,68.5
68872,59.79
68895,71.42
68370,58.19
68377,69.76
68385,57.99
68397,76.53
68406,71.47
68418,44.73
68425,36.02
68432,55.53
68444,43.16
68464,70.85
68468,72.37
68498,49.63
68500,57.32
68502,63.61
68522,78.02
68524,60.94
68533,78.71
68549,67.37
68572,70.88
68573,621.852428964253
68575,56.1
68211,75.18
68217,69.77
68229,67.94
68235,79.62
68245,71.34
68255,63.14
68264,75.7
68266,59.34
68271,79.73
68296,64.65
68298,47.94
68318,62.49
68320,61.23
68322,53.15
68324,70.15
68327,71.01
68344,49.86
68368,68.25
68307,66.63
68276,84.55
68101,66.14
68250,81.73
68547,68.72
68001,84.6
73001,85.2
73024,70.92
73026,55.09
73030,64.88
73043,61.99
73055,53.13
73067,69.65
73124,40.77
73148,66.86
73152,49.17
73168,59.49
73200,64.84
73217,41.31
73226,63.71
73236,70.39
73268,52.38
73270,28.07
73275,72.06
73283,52.4
73319,65.26
73347,67.1
73352,48.83
73408,78.49
73411,76.94
73443,54.84
73449,75.16
73461,41.1
73483,28.34
73504,70.29
73520,61.19
73547,65.0
73555,57.38
73563,61.56
73585,71.7
73616,64.82
73622,35.99
73624,39.2
73671,38.23
73675,73.73
73678,77.22
73686,51.3
73770,48.5
73854,55.56
73861,56.1
73870,59.49
73873,39.89
13300,88.61
13650,64.62
13430,56.93
25307,57.82
25754,65.71
25175,72.83
25260,75.26
25473,91.77
25740,80.29
25290,77.06
25662,68.32
73349,43.3
05631,97.72
05380,80.52
